parameter_set_id,name,module,country_id,scenario_id,policy_id,regime_code,value_type,unit,baseline_value,low_value,high_value,support_type,source_id,formula_id,distribution,truncation_rule,primary_spec_flag,robustness_flag,stress_flag,double_counting_risk,double_counting_note,audit_status,notes,is_lac_fallback,assumption_id,dataset_version,build_id,created_at,created_by_script
baseline-official-v1,tau_available_frozen_r0_note,fiscal_channels_consumption,PER,,,,calibrated_parameter,flag,1.0,1.0,1.0,official_4c_country_specific,AUTHOR_CONVENTION_4A,Disposable tax rates are frozen at r0 in the consumption chain; favorable second-order bias for r>=1 is declared.,fixed_note,declared,True,False,False,none,none,registered,Disposable tax rates are frozen at r0 in the consumption chain; favorable second-order bias for r>=1 is declared.,False,A4A_PER_TAU_AVAILABLE_FROZEN_R0_NOTE,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.678996+00:00,build_official_4c_anchors.py
baseline-official-v1,A_aipi_total,adoption_translation,CHL,,,,observed,index_0_to_1,0.585751,0.0,1.0,official_4c_country_specific,IMF_AIPI_DATA360,observed AIPI carried to 2024,fixed_observed,0_to_1,True,False,False,none,none,registered,observed AIPI carried to 2024,False,A4A_CHL_A_AIPI_TOTAL,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,Gap_excluded_indicators,adoption_translation,CHL,,,,observed,index_0_to_1,0.0886511843200829,0.0,1.0,official_4c_country_specific,ITU_DATAHUB;OOKLA_SPEEDTEST_OPEN_DATA;IMF_AIPI_NOTE_COMPONENTS,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",fixed_observed,0_to_1,True,False,False,none,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",registered,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",False,A4A_CHL_GAP_EXCLUDED_INDICATORS,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,I_adopt_informality,adoption_translation,CHL,,,,observed,share,0.27458,0.0,1.0,official_4c_country_specific,ILOSTAT,country-specific informality anchor,fixed_observed,0_to_1,True,False,False,none,none,registered,country-specific informality anchor,False,A4A_CHL_I_ADOPT_INFORMALITY,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,q_use_target,adoption_translation,CHL,,,,calibrated_parameter,share,0.13193619762722963,0.09235533833906073,0.17151705691539854,official_4c_country_specific,FRONTIER_BENCHMARK;IMF_AIPI_DATA360,OECD-Eurostat benchmark adoption average scaled by country AIPI relative to benchmark AIPI; support +/-30%.,bounded_PERT,0_to_1,True,False,False,none,none,registered,OECD-Eurostat benchmark adoption average scaled by country AIPI relative to benchmark AIPI; support +/-30%.,False,A4A_CHL_Q_USE_TARGET,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,q_bar,adoption_translation,CHL,,,,derived_parameter,share,0.8183844078399585,0.7275766117599378,0.9091922039199793,official_4c_country_specific,PAPER_ADOPTION_MODULE,1 - omega_I*I - omega_G*Gap,derived_bounded_PERT,0_to_1,True,False,False,none,none,registered,1 - omega_I*I - omega_G*Gap,False,A4A_CHL_Q_BAR,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,q_use_target_adj,adoption_translation,CHL,,,,derived_parameter,share,0.13193619762722963,0.09235533833906073,0.17151705691539854,official_4c_country_specific,PLAN_02_SEC_7_3,Target projected to interior support,derived_bounded_PERT,0_to_1,True,False,False,none,none,registered,Target projected to interior support,False,A4A_CHL_Q_USE_TARGET_ADJ,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,q_prod_t0,adoption_translation,CHL,,,,derived_parameter,share,0.13193619762722963,0.09235533833906073,0.17151705691539854,official_4c_country_specific,PLAN_02_SEC_7_3,Initial condition q_prod_t0=q_use_target_adj,derived_bounded_PERT,0_to_1,True,False,False,none,none,registered,Initial condition q_prod_t0=q_use_target_adj,False,A4A_CHL_Q_PROD_T0,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,mu_t0_derived_not_free,adoption_translation,CHL,,,,derived_parameter,unitless,-2.053347735445556,-2.053347735445556,-2.053347735445556,official_4c_country_specific,PLAN_02_SEC_7_3,"Derived by logit inversion; primitive is q_use_target, not mu",fixed_derived,declared,True,False,False,none,none,registered,"Derived by logit inversion; primitive is q_use_target, not mu",False,A4A_CHL_MU_T0_DERIVED_NOT_FREE,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,labor_share,fiscal_channels,CHL,,,,observed,share,0.4396144151687622,0.4396144151687622,0.4396144151687622,official_4c_country_specific,PWT_10_01,country-specific PWT labsh,fixed_observed,0_to_1,True,False,False,none,none,registered,country-specific PWT labsh,False,A4A_CHL_LABOR_SHARE,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,tau_L_eff,fiscal_channels,CHL,,,,derived_parameter,effective_tax_rate,0.07823103988119534,0.0,1.0,official_4c_country_specific,OECD_REVSTAT_LAC;PWT_10_01,(PIT_GDP+social_contrib_GDP)/labor_share_GDP,fixed_derived,0_to_1,True,False,False,none,none,registered,(PIT_GDP+social_contrib_GDP)/labor_share_GDP,False,A4A_CHL_TAU_L_EFF,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,tau_K_eff,fiscal_channels,CHL,,,,derived_parameter,effective_tax_rate,0.0758952644530852,0.0,1.0,official_4c_country_specific,OECD_REVSTAT_LAC;PWT_10_01,CIT_GDP/(1-labor_share),fixed_derived,0_to_1,True,False,False,none,none,registered,CIT_GDP/(1-labor_share),False,A4A_CHL_TAU_K_EFF,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,tau_C_eff,fiscal_channels,CHL,,,,derived_parameter,effective_tax_rate,0.117114874990871,0.0,1.0,official_4c_country_specific,OECD_REVSTAT_LAC;WDI,VAT_GDP/final_consumption_GDP_share,fixed_derived,0_to_1,True,False,False,none,none,registered,VAT_GDP/final_consumption_GDP_share,False,A4A_CHL_TAU_C_EFF,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,E_prod,fiscal_channels_labor,CHL,,,,calibrated_parameter,share_of_tasks_or_employment,0.11,0.08,0.14,official_4c_country_specific,PLAN_01_02,LAC fallback; is_lac_fallback=TRUE for official 4C until country occupation exposure is available.,bounded_PERT,declared,True,False,False,none,none,registered,LAC fallback; is_lac_fallback=TRUE for official 4C until country occupation exposure is available.,True,A4A_CHL_E_PROD,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,E_auto,fiscal_channels_labor,CHL,,,,calibrated_parameter,share_of_tasks_or_employment,0.035,0.02,0.05,official_4c_country_specific,PAPER_LAC_AUTOMATION_RISK_ANCHOR,LAC automation-risk anchor.,bounded_PERT,declared,True,False,False,none,none,registered,LAC automation-risk anchor.,True,A4A_CHL_E_AUTO,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,m_M,fiscal_channels_consumption,CHL,,,,derived_parameter,share,0.41193796880047395,0.41193796880047395,0.41193796880047395,official_4c_country_specific,WDI,"imports_GDP_share/final_consumption_GDP_share capped [0,1]",fixed_derived,0_to_1,True,False,False,none,none,registered,"imports_GDP_share/final_consumption_GDP_share capped [0,1]",False,A4A_CHL_M_M,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,theta_R_dom,fiscal_channels_consumption,CHL,,,,derived_parameter,share,0.588062031199526,0.588062031199526,0.588062031199526,official_4c_country_specific,WDI;AUTHOR_CONVENTION_4A,theta_R_dom anchored to (1-m_M) by author-review convention.,fixed_derived,0_to_1,True,False,False,none,none,registered,theta_R_dom anchored to (1-m_M) by author-review convention.,False,A4A_CHL_THETA_R_DOM,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,tau_available_frozen_r0_note,fiscal_channels_consumption,CHL,,,,calibrated_parameter,flag,1.0,1.0,1.0,official_4c_country_specific,AUTHOR_CONVENTION_4A,Disposable tax rates are frozen at r0 in the consumption chain; favorable second-order bias for r>=1 is declared.,fixed_note,declared,True,False,False,none,none,registered,Disposable tax rates are frozen at r0 in the consumption chain; favorable second-order bias for r>=1 is declared.,False,A4A_CHL_TAU_AVAILABLE_FROZEN_R0_NOTE,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.679995+00:00,build_official_4c_anchors.py
baseline-official-v1,A_aipi_total,adoption_translation,COL,,,,observed,index_0_to_1,0.489494,0.0,1.0,official_4c_country_specific,IMF_AIPI_DATA360,observed AIPI carried to 2024,fixed_observed,0_to_1,True,False,False,none,none,registered,observed AIPI carried to 2024,False,A4A_COL_A_AIPI_TOTAL,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,Gap_excluded_indicators,adoption_translation,COL,,,,observed,index_0_to_1,0.23850844421210804,0.0,1.0,official_4c_country_specific,ITU_DATAHUB;OOKLA_SPEEDTEST_OPEN_DATA;IMF_AIPI_NOTE_COMPONENTS,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",fixed_observed,0_to_1,True,False,False,none,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",registered,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",False,A4A_COL_GAP_EXCLUDED_INDICATORS,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,I_adopt_informality,adoption_translation,COL,,,,observed,share,0.56143,0.0,1.0,official_4c_country_specific,ILOSTAT,country-specific informality anchor,fixed_observed,0_to_1,True,False,False,none,none,registered,country-specific informality anchor,False,A4A_COL_I_ADOPT_INFORMALITY,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,q_use_target,adoption_translation,COL,,,,calibrated_parameter,share,0.11025500105222721,0.07717850073655905,0.14333150136789538,official_4c_country_specific,FRONTIER_BENCHMARK;IMF_AIPI_DATA360,OECD-Eurostat benchmark adoption average scaled by country AIPI relative to benchmark AIPI; support +/-30%.,bounded_PERT,0_to_1,True,False,False,none,none,registered,OECD-Eurostat benchmark adoption average scaled by country AIPI relative to benchmark AIPI; support +/-30%.,False,A4A_COL_Q_USE_TARGET,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,q_bar,adoption_translation,COL,,,,derived_parameter,share,0.600030777893946,0.400046166840919,0.800015388946973,official_4c_country_specific,PAPER_ADOPTION_MODULE,1 - omega_I*I - omega_G*Gap,derived_bounded_PERT,0_to_1,True,False,False,none,none,registered,1 - omega_I*I - omega_G*Gap,False,A4A_COL_Q_BAR,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,q_use_target_adj,adoption_translation,COL,,,,derived_parameter,share,0.11025500105222721,0.07717850073655905,0.14333150136789538,official_4c_country_specific,PLAN_02_SEC_7_3,Target projected to interior support,derived_bounded_PERT,0_to_1,True,False,False,none,none,registered,Target projected to interior support,False,A4A_COL_Q_USE_TARGET_ADJ,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,q_prod_t0,adoption_translation,COL,,,,derived_parameter,share,0.11025500105222721,0.07717850073655905,0.14333150136789538,official_4c_country_specific,PLAN_02_SEC_7_3,Initial condition q_prod_t0=q_use_target_adj,derived_bounded_PERT,0_to_1,True,False,False,none,none,registered,Initial condition q_prod_t0=q_use_target_adj,False,A4A_COL_Q_PROD_T0,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,mu_t0_derived_not_free,adoption_translation,COL,,,,derived_parameter,unitless,-1.5806765916702576,-1.5806765916702576,-1.5806765916702576,official_4c_country_specific,PLAN_02_SEC_7_3,"Derived by logit inversion; primitive is q_use_target, not mu",fixed_derived,declared,True,False,False,none,none,registered,"Derived by logit inversion; primitive is q_use_target, not mu",False,A4A_COL_MU_T0_DERIVED_NOT_FREE,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,labor_share,fiscal_channels,COL,,,,observed,share,0.4952113628387451,0.4952113628387451,0.4952113628387451,official_4c_country_specific,PWT_10_01,country-specific PWT labsh,fixed_observed,0_to_1,True,False,False,none,none,registered,country-specific PWT labsh,False,A4A_COL_LABOR_SHARE,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,tau_L_eff,fiscal_channels,COL,,,,derived_parameter,effective_tax_rate,0.06452914158536067,0.0,1.0,official_4c_country_specific,OECD_REVSTAT_LAC;PWT_10_01,(PIT_GDP+social_contrib_GDP)/labor_share_GDP,fixed_derived,0_to_1,True,False,False,none,none,registered,(PIT_GDP+social_contrib_GDP)/labor_share_GDP,False,A4A_COL_TAU_L_EFF,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,tau_K_eff,fiscal_channels,COL,,,,derived_parameter,effective_tax_rate,0.1065034343683816,0.0,1.0,official_4c_country_specific,OECD_REVSTAT_LAC;PWT_10_01,CIT_GDP/(1-labor_share),fixed_derived,0_to_1,True,False,False,none,none,registered,CIT_GDP/(1-labor_share),False,A4A_COL_TAU_K_EFF,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,tau_C_eff,fiscal_channels,COL,,,,derived_parameter,effective_tax_rate,0.06394529573605691,0.0,1.0,official_4c_country_specific,OECD_REVSTAT_LAC;WDI,VAT_GDP/final_consumption_GDP_share,fixed_derived,0_to_1,True,False,False,none,none,registered,VAT_GDP/final_consumption_GDP_share,False,A4A_COL_TAU_C_EFF,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,E_prod,fiscal_channels_labor,COL,,,,calibrated_parameter,share_of_tasks_or_employment,0.11,0.08,0.14,official_4c_country_specific,PLAN_01_02,LAC fallback; is_lac_fallback=TRUE for official 4C until country occupation exposure is available.,bounded_PERT,declared,True,False,False,none,none,registered,LAC fallback; is_lac_fallback=TRUE for official 4C until country occupation exposure is available.,True,A4A_COL_E_PROD,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,E_auto,fiscal_channels_labor,COL,,,,calibrated_parameter,share_of_tasks_or_employment,0.035,0.02,0.05,official_4c_country_specific,PAPER_LAC_AUTOMATION_RISK_ANCHOR,LAC automation-risk anchor.,bounded_PERT,declared,True,False,False,none,none,registered,LAC automation-risk anchor.,True,A4A_COL_E_AUTO,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,m_M,fiscal_channels_consumption,COL,,,,derived_parameter,share,0.23079944059593502,0.23079944059593502,0.23079944059593502,official_4c_country_specific,WDI,"imports_GDP_share/final_consumption_GDP_share capped [0,1]",fixed_derived,0_to_1,True,False,False,none,none,registered,"imports_GDP_share/final_consumption_GDP_share capped [0,1]",False,A4A_COL_M_M,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,theta_R_dom,fiscal_channels_consumption,COL,,,,derived_parameter,share,0.769200559404065,0.769200559404065,0.769200559404065,official_4c_country_specific,WDI;AUTHOR_CONVENTION_4A,theta_R_dom anchored to (1-m_M) by author-review convention.,fixed_derived,0_to_1,True,False,False,none,none,registered,theta_R_dom anchored to (1-m_M) by author-review convention.,False,A4A_COL_THETA_R_DOM,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,tau_available_frozen_r0_note,fiscal_channels_consumption,COL,,,,calibrated_parameter,flag,1.0,1.0,1.0,official_4c_country_specific,AUTHOR_CONVENTION_4A,Disposable tax rates are frozen at r0 in the consumption chain; favorable second-order bias for r>=1 is declared.,fixed_note,declared,True,False,False,none,none,registered,Disposable tax rates are frozen at r0 in the consumption chain; favorable second-order bias for r>=1 is declared.,False,A4A_COL_TAU_AVAILABLE_FROZEN_R0_NOTE,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.680996+00:00,build_official_4c_anchors.py
baseline-official-v1,A_aipi_total,adoption_translation,MEX,,,,observed,index_0_to_1,0.532044,0.0,1.0,official_4c_country_specific,IMF_AIPI_DATA360,observed AIPI carried to 2024,fixed_observed,0_to_1,True,False,False,none,none,registered,observed AIPI carried to 2024,False,A4A_MEX_A_AIPI_TOTAL,v1.0.1-official-4c,v1.0.1-official-4c-anchors-20260709T110732Z,2026-07-09T11:07:41.681995+00:00,build_official_4c_anchors.py
