policy_parameter_id,country_id,policy_id,year,age_threshold,eta_policy,chi_gmi,theta_target,benefit_formula,eligible_population_rule,gross_or_net_convention,existing_spending_treatment,poverty_line_convention,indexation_rule,source_id,assumption_id,source_url,dataset_version,created_at,created_by_script
COL_GMI_loaded_aggregate_2024,COL,GMI,2024,,,1.0,1.5,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP;A_THETA_TARGET_GMI_LOADED,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
COL_MUT_2024_ASSUMED_ETA,COL,MUT,2024,,0.25,,,eta_MUT * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_MUT_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
COL_PBI_2024_ASSUMED_ETA,COL,PBI,2024,18.0,0.5,,,eta_PBI * poverty_line_lcu,adult population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_PBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
COL_UBI_2024_ASSUMED_ETA,COL,UBI,2024,,1.0,,,eta_UBI * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_UBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.658996+00:00,build_official_4c_anchors.py
MEX_PEN_2024_OFFICIAL,MEX,PEN,2024,65.0,,,,"MXN 6,000 bimonthly in 2024 * 6",age>=65,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",not_applicable,endpoint_policy_review_required,BIENESTAR_MEXICO_ADULTOS_MAYORES_2024,,https://www.gob.mx/bienestar/prensa/2024-inicia-con-aumentos-a-pensiones-de-bienestar-anuncia-ariadna-montiel?idiom=es,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
MEX_GMI_ideal_aggregate_2024,MEX,GMI,2024,,,1.0,1.0,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP,,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
MEX_GMI_loaded_aggregate_2024,MEX,GMI,2024,,,1.0,1.5,theta_target * chi_gmi * poverty_gap * poverty_line_lcu * population_total,"aggregate PIP poverty gap, no microdata",gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PIP;WDI;PLAN_01_02,A_CHI_GMI_FULL_GAP;A_THETA_TARGET_GMI_LOADED,,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
MEX_MUT_2024_ASSUMED_ETA,MEX,MUT,2024,,0.25,,,eta_MUT * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_MUT_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
MEX_PBI_2024_ASSUMED_ETA,MEX,PBI,2024,18.0,0.5,,,eta_PBI * poverty_line_lcu,adult population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_PBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
MEX_UBI_2024_ASSUMED_ETA,MEX,UBI,2024,,1.0,,,eta_UBI * poverty_line_lcu,total population,gross,"pure_layering_zero_existing_spending: current programs are not netted from the policy cost; V_net=V_gross is conservative relative to crediting existing budgets; official pension rows retain country normative sources, while synthetic GMI/MUT/PBI/UBI rows remain new-layer designs.",international_ppp_converted_to_lcu,poverty_line_growth,PLAN_01_02;PIP;WDI,A_UBI_ETA_POLICY,,v1.0.1-official-4c,2026-07-09T11:07:41.659996+00:00,build_official_4c_anchors.py
