name,module,country_id,scenario_id,policy_id,regime_code,baseline_value,low_value,high_value,unit,distribution,support_type,source_id,formula_id,double_counting_risk,audit_status,notes
q_use_target,adoption_translation,PER,,,,0.11067357435335731,0.08,0.14,share,bounded_PERT,calibrated_prior_from_benchmark_and_lac_exposure,FRONTIER_BENCHMARK;IMF_AIPI_DATA360;PLAN_01_02,OECD-Eurostat benchmark adoption average scaled by Peru AIPI relative to benchmark AIPI; low/high use LAC productive exposure support.,none,registered_author_review,OECD-Eurostat benchmark adoption average scaled by Peru AIPI relative to benchmark AIPI; low/high use LAC productive exposure support.
q_use_target_adj,adoption_translation,PER,,,,0.11067357435335731,0.08,0.14,share,derived_bounded_PERT,derived_from_registered_inputs,PLAN_02_SEC_7_3,"Target projected to the interior of [epsilon_mu, q_bar-epsilon_mu].",none,registered,"Target projected to the interior of [epsilon_mu, q_bar-epsilon_mu]."
kappa_LP_to_Y_high,ai_shock,PER,high,,,0.447212278842926,0.447212278842926,0.447212278842926,GDP_equivalent_per_raw_unit,fixed,paper_bridge_convention,PAPER_SEC_PARAMETERS;PWT_10_01,TFP_or_Y_identity;LP_bridge_uses_labor_share_for_high,none,registered,TFP/Y shocks use identity bridge; LP high scenario uses observed Peru labor share as conservative output bridge.
phi_Y_nom_high,ai_shock,,high,,,0.003801304370164793,0.0017888491153716934,0.005813759624958115,nominal_GDP_equivalent_annual_rate,derived_bounded_PERT,derived_from_registered_inputs,oecd2025g7;PAPER_TABLE_PHI_SCENARIO_LADDER;PAPER_SEC_10_4,phi_Y_nom=(1+kappa*phi_raw)*(1+pi_AI_Y)-1,none,registered,Derived for calibration only; no economic result is computed in Etapa 3A.
phi_raw_high,ai_shock,,high,,,0.0085,0.004,0.013,LP_equivalent_annual_rate_before_bridge,bounded_PERT,paper_literature_support,oecd2025g7;PAPER_TABLE_PHI_SCENARIO_LADDER,paper_phi_raw_support,none,registered,Raw source-unit AI shock. Nominal GDP-equivalent value is derived separately.
pi_AI_Y_high,ai_shock,,high,,,0.0,0.0,0.0,annual_nominal_price_adjustment_rate,fixed,fixed_baseline_convention,PAPER_SEC_PARAMETERS,no_nominal_price_adjustment_in_baseline,none,registered,Nominal bridge is multiplicative; baseline sets explicit AI price wedge to zero.
kappa_TFP_to_Y_low,ai_shock,,low,,,1.0,1.0,1.0,GDP_equivalent_per_raw_unit,fixed,paper_bridge_convention,PAPER_SEC_PARAMETERS,TFP_or_Y_identity;LP_bridge_uses_labor_share_for_high,none,registered,TFP/Y shocks use identity bridge; LP high scenario uses observed Peru labor share as conservative output bridge.
phi_Y_nom_low,ai_shock,,low,,,0.0004999999999999449,0.00029999999999996696,0.0006999999999999229,nominal_GDP_equivalent_annual_rate,derived_bounded_PERT,derived_from_registered_inputs,acemoglu2024simple;PAPER_TABLE_PHI_SCENARIO_LADDER;PAPER_SEC_10_4,phi_Y_nom=(1+kappa*phi_raw)*(1+pi_AI_Y)-1,none,registered,Derived for calibration only; no economic result is computed in Etapa 3A.
phi_raw_low,ai_shock,,low,,,0.0005,0.0003,0.0007,TFP_equivalent_annual_rate,bounded_PERT,paper_literature_support,acemoglu2024simple;PAPER_TABLE_PHI_SCENARIO_LADDER,paper_phi_raw_support,none,registered,Raw source-unit AI shock. Nominal GDP-equivalent value is derived separately.
pi_AI_Y_low,ai_shock,,low,,,0.0,0.0,0.0,annual_nominal_price_adjustment_rate,fixed,fixed_baseline_convention,PAPER_SEC_PARAMETERS,no_nominal_price_adjustment_in_baseline,none,registered,Nominal bridge is multiplicative; baseline sets explicit AI price wedge to zero.
kappa_TFP_to_Y_mid,ai_shock,,mid,,,1.0,1.0,1.0,GDP_equivalent_per_raw_unit,fixed,paper_bridge_convention,PAPER_SEC_PARAMETERS,TFP_or_Y_identity;LP_bridge_uses_labor_share_for_high,none,registered,TFP/Y shocks use identity bridge; LP high scenario uses observed Peru labor share as conservative output bridge.
phi_Y_nom_mid,ai_shock,,mid,,,0.004250000000000087,0.0024999999999999467,0.006000000000000005,nominal_GDP_equivalent_annual_rate,derived_bounded_PERT,derived_from_registered_inputs,filippucci2024miracle;OECD_MICRO_TO_MACRO;PAPER_TABLE_PHI_SCENARIO_LADDER;PAPER_SEC_10_4,phi_Y_nom=(1+kappa*phi_raw)*(1+pi_AI_Y)-1,none,registered,Derived for calibration only; no economic result is computed in Etapa 3A.
phi_raw_mid,ai_shock,,mid,,,0.00425,0.0025,0.006,TFP_equivalent_annual_rate,bounded_PERT,paper_literature_support,filippucci2024miracle;OECD_MICRO_TO_MACRO;PAPER_TABLE_PHI_SCENARIO_LADDER,paper_phi_raw_support,none,registered,Raw source-unit AI shock. Nominal GDP-equivalent value is derived separately.
pi_AI_Y_mid,ai_shock,,mid,,,0.0,0.0,0.0,annual_nominal_price_adjustment_rate,fixed,fixed_baseline_convention,PAPER_SEC_PARAMETERS,no_nominal_price_adjustment_in_baseline,none,registered,Nominal bridge is multiplicative; baseline sets explicit AI price wedge to zero.
kappa_Y_to_Y_stress,ai_shock,,stress,,,1.0,1.0,1.0,GDP_equivalent_per_raw_unit,fixed,paper_bridge_convention,PAPER_SEC_PARAMETERS,TFP_or_Y_identity;LP_bridge_uses_labor_share_for_high,none,registered,TFP/Y shocks use identity bridge; LP high scenario uses observed Peru labor share as conservative output bridge.
phi_Y_nom_stress,ai_shock,,stress,,,0.014999999999999902,0.010000000000000009,0.020000000000000018,nominal_GDP_equivalent_annual_rate,derived_bounded_PERT,derived_from_registered_inputs,PAPER_TABLE_PHI_SCENARIO_LADDER_STRESS_DIAGNOSTIC;PAPER_SEC_10_4,phi_Y_nom=(1+kappa*phi_raw)*(1+pi_AI_Y)-1,none,registered,Derived for calibration only; no economic result is computed in Etapa 3A.
phi_raw_stress,ai_shock,,stress,,,0.015,0.01,0.02,GDP_equivalent_stress_annual_rate,bounded_PERT,paper_literature_support,PAPER_TABLE_PHI_SCENARIO_LADDER_STRESS_DIAGNOSTIC,paper_phi_raw_support,none,registered,Raw source-unit AI shock. Nominal GDP-equivalent value is derived separately.
pi_AI_Y_stress,ai_shock,,stress,,,0.0,0.0,0.0,annual_nominal_price_adjustment_rate,fixed,fixed_baseline_convention,PAPER_SEC_PARAMETERS,no_nominal_price_adjustment_in_baseline,none,registered,Nominal bridge is multiplicative; baseline sets explicit AI price wedge to zero.
epsilon_ero_AI_r0,behavioral_erosion,,,,r0,0.0,0.0,0.0,taxable_base_erosion_elasticity,fixed,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_C_r0,behavioral_erosion,,,,r0,0.0,0.0,0.0,taxable_base_erosion_elasticity,fixed,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_K_r0,behavioral_erosion,,,,r0,0.0,0.0,0.0,taxable_base_erosion_elasticity,fixed,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_L_r0,behavioral_erosion,,,,r0,0.0,0.0,0.0,taxable_base_erosion_elasticity,fixed,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_AI_r1,behavioral_erosion,,,,r1,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_C_r1,behavioral_erosion,,,,r1,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_K_r1,behavioral_erosion,,,,r1,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_L_r1,behavioral_erosion,,,,r1,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_AI_r2,behavioral_erosion,,,,r2,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_C_r2,behavioral_erosion,,,,r2,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_K_r2,behavioral_erosion,,,,r2,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_L_r2,behavioral_erosion,,,,r2,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_AI_r3,behavioral_erosion,,,,r3,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_C_r3,behavioral_erosion,,,,r3,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_K_r3,behavioral_erosion,,,,r3,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_L_r3,behavioral_erosion,,,,r3,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_AI_r4,behavioral_erosion,,,,r4,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_C_r4,behavioral_erosion,,,,r4,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_K_r4,behavioral_erosion,,,,r4,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
epsilon_ero_L_r4,behavioral_erosion,,,,r4,0.5,0.0,1.0,taxable_base_erosion_elasticity,discrete_grid_or_bounded_PERT,paper_companion_grid,PLAN_02_SEC_7_4_2;PAPER_APP_FISCAL_CONVERSION,B_taxable=B*(1-epsilon_ero*tau_eff_r); epsilon_ero=0 in r0,behavioral_response_not_in_capital_chain,registered,Companion mandatory for any headline result relying on r>=1; Etapa 3A only registers the grid.
E_aug,fiscal_channels,PER,,,,0.11,0.08,0.14,share_of_tasks_or_employment,bounded_PERT,lac_fallback_exposure,PLAN_01_02,No automation/augmentation split in snapshot; both use LAC productive-exposure fallback.,none,registered_author_review,No automation/augmentation split in snapshot; both use LAC productive-exposure fallback.
E_auto,fiscal_channels,PER,,,,0.11,0.08,0.14,share_of_tasks_or_employment,bounded_PERT,lac_fallback_exposure,PLAN_01_02,No automation/augmentation split in snapshot; both use LAC productive-exposure fallback.,none,registered_author_review,No automation/augmentation split in snapshot; both use LAC productive-exposure fallback.
LS_labor_share,fiscal_channels,PER,,,,0.447212278842926,0.447212278842926,0.447212278842926,labor_share,fixed_observed,observed_anchor,PWT_10_01,PWT labor share carried forward to 2024,none,registered,PWT labor share carried forward to 2024
RST,fiscal_channels,PER,,,,0.39759036144578314,0.0,1.0,index_0_to_1,bounded_PERT,residualized_aipi_fallback,IMF_AIPI_DATA360;PLAN_01_SEC_14_6;PAPER_LABOR_SHARE_MODULE,"RST proxy uses AIPI human_capital_labor residualized on total AIPI over the international AIPI sample, then percentile-ranked to [0,1]. This is the paper-permitted fallback when ILO training/ALMP inputs are unavailable.",none,registered_author_review,"RST proxy uses AIPI human_capital_labor residualized on total AIPI over the international AIPI sample, then percentile-ranked to [0,1]. This is the paper-permitted fallback when ILO training/ALMP inputs are unavailable."
chi_Kbase,fiscal_channels,PER,,,,1.0,1.0,1.0,share,fixed_convention,broad_effective_rate_no_extra_base_discount,PAPER_APP_FISCAL_CONVERSION;PLAN_02_SEC_10_8,"tau_K_eff is calibrated as broad NLS effective capture, so no additional K-base filter in primary.",tax_base_double_discount,registered,"tau_K_eff is calibrated as broad NLS effective capture, so no additional K-base filter in primary."
chi_dom,fiscal_channels,PER,,,,1.0,1.0,1.0,share,fixed_convention,broad_effective_rate_no_extra_base_discount,PAPER_APP_FISCAL_CONVERSION;PLAN_02_SEC_10_8,Domestic reach already embedded in observed effective rate in primary.,tax_base_double_discount,registered,Domestic reach already embedded in observed effective rate in primary.
delta_s,fiscal_channels,PER,,,,0.5,0.25,1.0,unitless,discrete_grid,paper_provisional_grid,PAPER_MASTER_CALIBRATION_MATRIX,"Automation pressure grid {0.25,0.50,1.00}.",none,registered,"Automation pressure grid {0.25,0.50,1.00}."
exempt_C,fiscal_channels,PER,,,,0.0,0.0,0.0,share_of_consumption_base,fixed_convention,effective_rate_embeds_exemptions,PLAN_02_SEC_10_8;PAPER_APP_FISCAL_CONVERSION,Observed tau_C_eff already embeds exemptions and informal untaxed consumption; base-side exempt_C is zero to avoid double count.,tax_base_double_discount,registered,Observed tau_C_eff already embeds exemptions and informal untaxed consumption; base-side exempt_C is zero to avoid double count.
lambda_LS,fiscal_channels,PER,,,,0.5,0.25,1.0,unitless,discrete_grid,paper_provisional_grid,PAPER_MASTER_CALIBRATION_MATRIX,"Labor-share partial-adjustment grid {0.25,0.50,1.00}.",none,registered,"Labor-share partial-adjustment grid {0.25,0.50,1.00}."
m_M,fiscal_channels,PER,,,,0.30730450686855254,0.30730450686855254,0.30730450686855254,import_content_share,fixed_derived,observed_derived_anchor,WDI,"imports_GDP_share/final_consumption_GDP_share, capped to [0,1].",none,registered,"imports_GDP_share/final_consumption_GDP_share, capped to [0,1]."
mpc_Pi,fiscal_channels,PER,,,,0.37092222088305,0.22092222088305,0.52092222088305,share,bounded_PERT,calibrated_prior_from_national_accounts,WDI;PAPER_APP_FISCAL_CONVERSION,Profit-income MPC proxy set below labor-income proxy; flagged for author review.,none,registered_author_review,Profit-income MPC proxy set below labor-income proxy; flagged for author review.
mpc_R,fiscal_channels,PER,,,,0.556383331324575,0.40638333132457494,0.706383331324575,share,bounded_PERT,calibrated_prior_from_national_accounts,WDI;PAPER_APP_FISCAL_CONVERSION,Residual-income MPC proxy between labor and profit proxies; flagged for author review.,none,registered_author_review,Residual-income MPC proxy between labor and profit proxies; flagged for author review.
mpc_W,fiscal_channels,PER,,,,0.7418444417661,0.5918444417661,0.8418444417661,share,bounded_PERT,national_accounts_proxy,WDI;PAPER_APP_FISCAL_CONVERSION,Final-consumption/GDP share used as transparent pilot proxy for labor-income MPC.,none,registered_author_review,Final-consumption/GDP share used as transparent pilot proxy for labor-income MPC.
psi_s,fiscal_channels,PER,,,,0.5,0.25,1.0,unitless,discrete_grid,paper_provisional_grid,PAPER_MASTER_CALIBRATION_MATRIX,"Augmentation pressure grid {0.25,0.50,1.00}.",none,registered,"Augmentation pressure grid {0.25,0.50,1.00}."
psi_shift,fiscal_channels,PER,,,,0.0,0.0,0.0,share,fixed_convention,broad_effective_rate_no_extra_base_discount,PAPER_APP_FISCAL_CONVERSION;PLAN_02_SEC_10_8,Ordinary profit shifting not applied again when tau_K_eff is broad effective capture.,tax_base_double_discount,registered,Ordinary profit shifting not applied again when tau_K_eff is broad effective capture.
sPB_plus_gdp_ratio,fiscal_channels,PER,,,,0.007106971419037426,0.007106971419037426,0.007106971419037426,share_of_GDP,fixed_derived,derived_debt_guardrail,IMF_WEO_GFS;PLAN_02_SEC_7_7,"max(0,-pb_gap_gdp_pp)/100 because anchor stores IMF percent-of-GDP values in percentage points.",none,registered,"max(0,-pb_gap_gdp_pp)/100 because anchor stores IMF percent-of-GDP values in percentage points."
tau_C_eff,fiscal_channels,PER,,,,0.08476226759934355,0.08476226759934355,0.08476226759934355,effective_consumption_tax_capture,fixed_derived,observed_derived_anchor,OECD_REVSTAT_LAC;WDI,VAT_GDP/final_consumption_GDP_share,none,registered,VAT_GDP/final_consumption_GDP_share
tau_K_disp,fiscal_channels,PER,,,,0.0679185390505772,0.0679185390505772,0.0679185390505772,effective_tax_rate,fixed_derived,simplified_disposable_rate,PLAN_02_SEC_10_8,Simplified pilot convention: disposable capital rate equals fiscal capital effective rate.,none,registered,Simplified pilot convention: disposable capital rate equals fiscal capital effective rate.
tau_K_eff,fiscal_channels,PER,,,,0.0679185390505772,0.0679185390505772,0.0679185390505772,effective_capital_tax_capture,fixed_derived,observed_derived_anchor,OECD_REVSTAT_LAC;PWT_10_01,CIT_GDP/(1-labor_share),none,registered,CIT_GDP/(1-labor_share)
tau_L_disp,fiscal_channels,PER,,,,0.0804966095753286,0.0804966095753286,0.0804966095753286,effective_tax_rate,fixed_derived,simplified_disposable_rate,PLAN_02_SEC_10_8,Simplified pilot convention: disposable labor rate equals fiscal labor effective rate.,none,registered,Simplified pilot convention: disposable labor rate equals fiscal labor effective rate.
tau_L_eff,fiscal_channels,PER,,,,0.0804966095753286,0.0804966095753286,0.0804966095753286,effective_labor_tax_capture,fixed_derived,observed_derived_anchor,OECD_REVSTAT_LAC;ILOSTAT;PWT_10_01,(PIT_GDP+social_contrib_GDP)/labor_share_GDP,none,registered,(PIT_GDP+social_contrib_GDP)/labor_share_GDP
tau_R_disp,fiscal_channels,PER,,,,0.0,0.0,0.0,effective_tax_rate,fixed_convention,residual_income_not_directly_taxed,PAPER_APP_FISCAL_CONVERSION,Residual non-labor income is routed through consumption only in primary.,none,registered,Residual non-labor income is routed through consumption only in primary.
theta_R_dom,fiscal_channels,PER,,,,0.6926954931314475,0.6926954931314475,0.6926954931314475,domestic_routing_share,fixed_derived,derived_from_import_content,WDI;PAPER_APP_FISCAL_CONVERSION,Domestic routing for residual income set to 1-m_M in pilot.,none,registered,Domestic routing for residual income set to 1-m_M in pilot.
