parameter_name,module,country_id,baseline_value,low_value,high_value,distribution,truncation_rule,source_id,justification,double_counting_note,parameter_set_id,dataset_version,assumption_id,created_at,created_by_script,audit_status,author_approval_date,author_approval_note,is_observed,is_scenario,is_structural_unobserved,sensitivity_level,included_in_primary
tau_K_eff,fiscal_channels,PER,0.0679185390505772,0.0,1.0,fixed_derived,0_to_1,OECD_REVSTAT_LAC;PWT_10_01,CIT_GDP/(1-labor_share),none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_TAU_K_EFF,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,True,True,baseline,True
tau_C_eff,fiscal_channels,PER,0.08476226759934355,0.0,1.0,fixed_derived,0_to_1,OECD_REVSTAT_LAC;WDI,VAT_GDP/final_consumption_GDP_share,none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_TAU_C_EFF,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,True,True,baseline,True
E_prod,fiscal_channels_labor,PER,0.11,0.08,0.14,bounded_PERT,declared,PLAN_01_02,LAC fallback; is_lac_fallback=TRUE for official 4C until country occupation exposure is available.,none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_E_PROD,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
E_auto,fiscal_channels_labor,PER,0.035,0.02,0.05,bounded_PERT,declared,PAPER_LAC_AUTOMATION_RISK_ANCHOR,LAC automation-risk anchor.,none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_E_AUTO,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
m_M,fiscal_channels_consumption,PER,0.30730450686855254,0.30730450686855254,0.30730450686855254,fixed_derived,0_to_1,WDI,"imports_GDP_share/final_consumption_GDP_share capped [0,1]",none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_M_M,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
theta_R_dom,fiscal_channels_consumption,PER,0.6926954931314475,0.6926954931314475,0.6926954931314475,fixed_derived,0_to_1,WDI;AUTHOR_CONVENTION_4A,theta_R_dom anchored to (1-m_M) by author-review convention.,none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_THETA_R_DOM,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
tau_available_frozen_r0_note,fiscal_channels_consumption,PER,1.0,1.0,1.0,fixed_note,declared,AUTHOR_CONVENTION_4A,Disposable tax rates are frozen at r0 in the consumption chain; favorable second-order bias for r>=1 is declared.,none,baseline-official-v3,v1.0.1-official-4c,A4A_PER_TAU_AVAILABLE_FROZEN_R0_NOTE,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,True,True,baseline,True
A_aipi_total,adoption_translation,CHL,0.585751,0.535751,0.6357510000000001,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",Saisana_Saltelli_Tarantola_2005_JRSSA;Hoyland_Moene_Willumsen_2012_JDE,A: incertidumbre de puntajes de indices compuestos. La literatura ancla la existencia y el orden de magnitud de la incertidumbre; el rango exacto +/-0.05 es declaracion del autor dentro de esa clase. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,none,baseline-official-v3,v1.0.1-official-4c,OFFICIAL_V3_MEASUREMENT_A_aipi_total_CHL,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,author_approved,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura,True,False,False,baseline,True
Gap_excluded_indicators,adoption_translation,CHL,0.0886511843200829,0.038651184320082896,0.1386511843200829,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",Saisana_Saltelli_Tarantola_2005_JRSSA;Hoyland_Moene_Willumsen_2012_JDE,Gap: incertidumbre de puntajes de indices compuestos construidos desde cobertura ITU y velocidades Ookla excluidas del AIPI. La literatura ancla clase y orden de magnitud; +/-0.05 es declaracion del autor. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",baseline-official-v3,v1.0.1-official-4c,OFFICIAL_V3_MEASUREMENT_Gap_excluded_indicators_CHL,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,author_approved,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura,True,False,False,baseline,True
I_adopt_informality,adoption_translation,CHL,0.27458,0.23457999999999998,0.31457999999999997,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",Gasparini_Tornarolli_2007_CEDLAS_WP46;Gasparini_Tornarolli_2009_followup,I: dispersion inter-definicion de informalidad en LAC. Gasparini y Tornarolli documentan brechas de varios puntos porcentuales; +/-0.04 es conservador frente a ese orden de magnitud. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,none,baseline-official-v3,v1.0.1-official-4c,OFFICIAL_V3_MEASUREMENT_I_adopt_informality_CHL,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,author_approved,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura,True,False,False,baseline,True
q_use_target,adoption_translation,CHL,0.13193619762722963,0.09235533833906073,0.17151705691539854,bounded_PERT,0_to_1,FRONTIER_BENCHMARK;IMF_AIPI_DATA360,OECD-Eurostat benchmark adoption average scaled by country AIPI relative to benchmark AIPI; support +/-30%.,none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_Q_USE_TARGET,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
q_bar,adoption_translation,CHL,0.8183844078399585,0.7275766117599378,0.9091922039199793,derived_bounded_PERT,0_to_1,PAPER_ADOPTION_MODULE,1 - omega_I*I - omega_G*Gap,none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_Q_BAR,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
q_use_target_adj,adoption_translation,CHL,0.13193619762722963,0.09235533833906073,0.17151705691539854,derived_bounded_PERT,0_to_1,PLAN_02_SEC_7_3,Target projected to interior support,none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_Q_USE_TARGET_ADJ,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
q_prod_t0,adoption_translation,CHL,0.13193619762722963,0.09235533833906073,0.17151705691539854,derived_bounded_PERT,0_to_1,PLAN_02_SEC_7_3,Initial condition q_prod_t0=q_use_target_adj,none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_Q_PROD_T0,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
mu_t0_derived_not_free,adoption_translation,CHL,-2.053347735445556,-2.053347735445556,-2.053347735445556,fixed_derived,declared,PLAN_02_SEC_7_3,"Derived by logit inversion; primitive is q_use_target, not mu",none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_MU_T0_DERIVED_NOT_FREE,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
labor_share,fiscal_channels,CHL,0.4396144151687622,0.4396144151687622,0.4396144151687622,fixed_observed,0_to_1,PWT_10_01,country-specific PWT labsh,none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_LABOR_SHARE,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,True,False,False,baseline,True
tau_L_eff,fiscal_channels,CHL,0.07823103988119534,0.0,1.0,fixed_derived,0_to_1,OECD_REVSTAT_LAC;PWT_10_01,(PIT_GDP+social_contrib_GDP)/labor_share_GDP,none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_TAU_L_EFF,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,True,True,baseline,True
tau_K_eff,fiscal_channels,CHL,0.0758952644530852,0.0,1.0,fixed_derived,0_to_1,OECD_REVSTAT_LAC;PWT_10_01,CIT_GDP/(1-labor_share),none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_TAU_K_EFF,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,True,True,baseline,True
tau_C_eff,fiscal_channels,CHL,0.117114874990871,0.0,1.0,fixed_derived,0_to_1,OECD_REVSTAT_LAC;WDI,VAT_GDP/final_consumption_GDP_share,none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_TAU_C_EFF,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,True,True,baseline,True
E_prod,fiscal_channels_labor,CHL,0.11,0.08,0.14,bounded_PERT,declared,PLAN_01_02,LAC fallback; is_lac_fallback=TRUE for official 4C until country occupation exposure is available.,none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_E_PROD,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
E_auto,fiscal_channels_labor,CHL,0.035,0.02,0.05,bounded_PERT,declared,PAPER_LAC_AUTOMATION_RISK_ANCHOR,LAC automation-risk anchor.,none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_E_AUTO,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
m_M,fiscal_channels_consumption,CHL,0.41193796880047395,0.41193796880047395,0.41193796880047395,fixed_derived,0_to_1,WDI,"imports_GDP_share/final_consumption_GDP_share capped [0,1]",none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_M_M,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
theta_R_dom,fiscal_channels_consumption,CHL,0.588062031199526,0.588062031199526,0.588062031199526,fixed_derived,0_to_1,WDI;AUTHOR_CONVENTION_4A,theta_R_dom anchored to (1-m_M) by author-review convention.,none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_THETA_R_DOM,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
tau_available_frozen_r0_note,fiscal_channels_consumption,CHL,1.0,1.0,1.0,fixed_note,declared,AUTHOR_CONVENTION_4A,Disposable tax rates are frozen at r0 in the consumption chain; favorable second-order bias for r>=1 is declared.,none,baseline-official-v3,v1.0.1-official-4c,A4A_CHL_TAU_AVAILABLE_FROZEN_R0_NOTE,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,True,True,baseline,True
A_aipi_total,adoption_translation,COL,0.489494,0.439494,0.539494,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",Saisana_Saltelli_Tarantola_2005_JRSSA;Hoyland_Moene_Willumsen_2012_JDE,A: incertidumbre de puntajes de indices compuestos. La literatura ancla la existencia y el orden de magnitud de la incertidumbre; el rango exacto +/-0.05 es declaracion del autor dentro de esa clase. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,none,baseline-official-v3,v1.0.1-official-4c,OFFICIAL_V3_MEASUREMENT_A_aipi_total_COL,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,author_approved,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura,True,False,False,baseline,True
Gap_excluded_indicators,adoption_translation,COL,0.23850844421210804,0.18850844421210805,0.28850844421210803,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",Saisana_Saltelli_Tarantola_2005_JRSSA;Hoyland_Moene_Willumsen_2012_JDE,Gap: incertidumbre de puntajes de indices compuestos construidos desde cobertura ITU y velocidades Ookla excluidas del AIPI. La literatura ancla clase y orden de magnitud; +/-0.05 es declaracion del autor. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",baseline-official-v3,v1.0.1-official-4c,OFFICIAL_V3_MEASUREMENT_Gap_excluded_indicators_COL,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,author_approved,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura,True,False,False,baseline,True
I_adopt_informality,adoption_translation,COL,0.56143,0.52143,0.60143,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",Gasparini_Tornarolli_2007_CEDLAS_WP46;Gasparini_Tornarolli_2009_followup,I: dispersion inter-definicion de informalidad en LAC. Gasparini y Tornarolli documentan brechas de varios puntos porcentuales; +/-0.04 es conservador frente a ese orden de magnitud. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,none,baseline-official-v3,v1.0.1-official-4c,OFFICIAL_V3_MEASUREMENT_I_adopt_informality_COL,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,author_approved,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura,True,False,False,baseline,True
q_use_target,adoption_translation,COL,0.11025500105222721,0.07717850073655905,0.14333150136789538,bounded_PERT,0_to_1,FRONTIER_BENCHMARK;IMF_AIPI_DATA360,OECD-Eurostat benchmark adoption average scaled by country AIPI relative to benchmark AIPI; support +/-30%.,none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_Q_USE_TARGET,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
q_bar,adoption_translation,COL,0.600030777893946,0.400046166840919,0.800015388946973,derived_bounded_PERT,0_to_1,PAPER_ADOPTION_MODULE,1 - omega_I*I - omega_G*Gap,none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_Q_BAR,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
q_use_target_adj,adoption_translation,COL,0.11025500105222721,0.07717850073655905,0.14333150136789538,derived_bounded_PERT,0_to_1,PLAN_02_SEC_7_3,Target projected to interior support,none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_Q_USE_TARGET_ADJ,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
q_prod_t0,adoption_translation,COL,0.11025500105222721,0.07717850073655905,0.14333150136789538,derived_bounded_PERT,0_to_1,PLAN_02_SEC_7_3,Initial condition q_prod_t0=q_use_target_adj,none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_Q_PROD_T0,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
mu_t0_derived_not_free,adoption_translation,COL,-1.5806765916702576,-1.5806765916702576,-1.5806765916702576,fixed_derived,declared,PLAN_02_SEC_7_3,"Derived by logit inversion; primitive is q_use_target, not mu",none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_MU_T0_DERIVED_NOT_FREE,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
labor_share,fiscal_channels,COL,0.4952113628387451,0.4952113628387451,0.4952113628387451,fixed_observed,0_to_1,PWT_10_01,country-specific PWT labsh,none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_LABOR_SHARE,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,True,False,False,baseline,True
tau_L_eff,fiscal_channels,COL,0.06452914158536067,0.0,1.0,fixed_derived,0_to_1,OECD_REVSTAT_LAC;PWT_10_01,(PIT_GDP+social_contrib_GDP)/labor_share_GDP,none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_TAU_L_EFF,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,True,True,baseline,True
tau_K_eff,fiscal_channels,COL,0.1065034343683816,0.0,1.0,fixed_derived,0_to_1,OECD_REVSTAT_LAC;PWT_10_01,CIT_GDP/(1-labor_share),none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_TAU_K_EFF,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,True,True,baseline,True
tau_C_eff,fiscal_channels,COL,0.06394529573605691,0.0,1.0,fixed_derived,0_to_1,OECD_REVSTAT_LAC;WDI,VAT_GDP/final_consumption_GDP_share,none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_TAU_C_EFF,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,True,True,baseline,True
E_prod,fiscal_channels_labor,COL,0.11,0.08,0.14,bounded_PERT,declared,PLAN_01_02,LAC fallback; is_lac_fallback=TRUE for official 4C until country occupation exposure is available.,none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_E_PROD,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
E_auto,fiscal_channels_labor,COL,0.035,0.02,0.05,bounded_PERT,declared,PAPER_LAC_AUTOMATION_RISK_ANCHOR,LAC automation-risk anchor.,none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_E_AUTO,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
m_M,fiscal_channels_consumption,COL,0.23079944059593502,0.23079944059593502,0.23079944059593502,fixed_derived,0_to_1,WDI,"imports_GDP_share/final_consumption_GDP_share capped [0,1]",none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_M_M,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
theta_R_dom,fiscal_channels_consumption,COL,0.769200559404065,0.769200559404065,0.769200559404065,fixed_derived,0_to_1,WDI;AUTHOR_CONVENTION_4A,theta_R_dom anchored to (1-m_M) by author-review convention.,none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_THETA_R_DOM,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,False,True,baseline,True
tau_available_frozen_r0_note,fiscal_channels_consumption,COL,1.0,1.0,1.0,fixed_note,declared,AUTHOR_CONVENTION_4A,Disposable tax rates are frozen at r0 in the consumption chain; favorable second-order bias for r>=1 is declared.,none,baseline-official-v3,v1.0.1-official-4c,A4A_COL_TAU_AVAILABLE_FROZEN_R0_NOTE,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,registered,,,False,True,True,baseline,True
A_aipi_total,adoption_translation,MEX,0.532044,0.482044,0.582044,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",Saisana_Saltelli_Tarantola_2005_JRSSA;Hoyland_Moene_Willumsen_2012_JDE,A: incertidumbre de puntajes de indices compuestos. La literatura ancla la existencia y el orden de magnitud de la incertidumbre; el rango exacto +/-0.05 es declaracion del autor dentro de esa clase. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,none,baseline-official-v3,v1.0.1-official-4c,OFFICIAL_V3_MEASUREMENT_A_aipi_total_MEX,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,author_approved,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura,True,False,False,baseline,True
Gap_excluded_indicators,adoption_translation,MEX,0.3512321314632644,0.3012321314632644,0.40123213146326436,bounded_PERT,"truncated_to_[0,1]_and_checked_q_bar_nonnegative",Saisana_Saltelli_Tarantola_2005_JRSSA;Hoyland_Moene_Willumsen_2012_JDE,Gap: incertidumbre de puntajes de indices compuestos construidos desde cobertura ITU y velocidades Ookla excluidas del AIPI. La literatura ancla clase y orden de magnitud; +/-0.05 es declaracion del autor. Nota de honestidad: la literatura ancla la existencia y el orden de magnitud de la incertidumbre para esta clase de objetos; los valores exactos son declaracion del autor. La sensibilidad de intensidad del factor rho 0.3-0.8 cubre parcialmente rangos mas anchos.,"gap_index = 1 - average(normalized LTE coverage, fixed speed, mobile speed); excluded indicators verified against AIPI note",baseline-official-v3,v1.0.1-official-4c,OFFICIAL_V3_MEASUREMENT_Gap_excluded_indicators_MEX,2026-07-09T12:13:19.415601+00:00,materialize_official_v3_measurement_uncertainty.py,author_approved,2026-07-09,cumplimiento del vector Theta_channel del paper; incertidumbre de medicion informada por literatura,True,False,False,baseline,True
