run_id,run_type,variant_id,diagnostic_key,diagnostic_value,diagnostic_note,diagnostic_family,expected_verdict,verdict,rank_change,parameter_set_id,dataset_version
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R12_non_resource_plausibility,non_resource_grd_coverage|MEX,"{""country"": ""MEX"", ""general_government_nonresource_tax_ex_sc_nonnull"": 0, ""general_government_total_nonresource_nonnull"": 42, ""total_nonresource_year_max"": 2023, ""total_nonresource_year_min"": 2003}",K6 coverage audit for attempted non-resource mapping from GRD 2025.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2010plus,required_plausibility_window_change_summary,"{""borderline_changes_vs_2000plus"": 1, ""class_changes_vs_2000plus"": 0}",K5 required-MFC plausibility class changes for headline cells by historical window.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2015plus,required_plausibility_window_change_summary,"{""borderline_changes_vs_2000plus"": 4, ""class_changes_vs_2000plus"": 0}",K5 required-MFC plausibility class changes for headline cells by historical window.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic,required_plausibility_window_change_summary,"{""borderline_changes_vs_2000plus"": 0, ""class_changes_vs_2000plus"": 0}",K5 required-MFC plausibility class changes for headline cells by historical window.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R10_margin_equivalent_costs,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 22, ""country_policy_class_changes"": 20, ""max_abs_delta_v_headline"": 2.4213996520510643}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2010plus,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 4.440892098500626e-16}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_2015plus,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 4.440892098500626e-16}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R11_hist_window_excl_pandemic,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 4.440892098500626e-16}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R12_non_resource_plausibility,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": null}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R13_recycling_mpc_ben,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 0.05444622690564138}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_tax_p10,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 1, ""country_policy_class_changes"": 20, ""max_abs_delta_v_headline"": 5.671577989412422}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_tax_p50,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 7, ""country_policy_class_changes"": 40, ""max_abs_delta_v_headline"": 11.477612715738111}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_tax_p90,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 12, ""country_policy_class_changes"": 120, ""max_abs_delta_v_headline"": 23.45087011513639}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p10,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 2, ""country_policy_class_changes"": 40, ""max_abs_delta_v_headline"": 2.977669555171949}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p50,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 12, ""country_policy_class_changes"": 100, ""max_abs_delta_v_headline"": 16.67645516889989}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R14_hist_total_p90,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 18, ""country_policy_class_changes"": 140, ""max_abs_delta_v_headline"": 29.655370570200365}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R1_horizon_H15,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 11, ""country_policy_class_changes"": 40, ""max_abs_delta_v_headline"": 3.4492927762870638}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R1_horizon_H5,summary,"{""baseline_reversed_cells"": 13, ""cell_class_changes"": 15, ""country_policy_class_changes"": 40, ""max_abs_delta_v_headline"": 3.269546859420979}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,labeled_illustrative,R2_labeled_illustrative_qtarget_frontier2034_lambda_030,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 1, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 0.3763812917753864}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R2b_conservative_q0_lambda_015,summary,"{""baseline_reversed_cells"": 11, ""cell_class_changes"": 12, ""country_policy_class_changes"": 20, ""max_abs_delta_v_headline"": 2.9760590912369094}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R2b_conservative_q0_lambda_030,summary,"{""baseline_reversed_cells"": 4, ""cell_class_changes"": 4, ""country_policy_class_changes"": 20, ""max_abs_delta_v_headline"": 1.4998075653447933}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R2b_conservative_q0_lambda_050,summary,"{""baseline_reversed_cells"": 3, ""cell_class_changes"": 3, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 0.6649697029659682}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R3_frontier_alt_year,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": null}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R3_frontier_best_country,summary,"{""baseline_reversed_cells"": 15, ""cell_class_changes"": 15, ""country_policy_class_changes"": 60, ""max_abs_delta_v_headline"": 5.446156200461149}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R3_full_score_alpha1,summary,"{""baseline_reversed_cells"": 5, ""cell_class_changes"": 5, ""country_policy_class_changes"": 20, ""max_abs_delta_v_headline"": 0.8914620838620055}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R4_cost_net,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 4.440892098500626e-16}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R5_demography_constant_2024,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 2, ""country_policy_class_changes"": 20, ""max_abs_delta_v_headline"": 0.4107851657883699}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R6_gap_residualized,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 4.440892098500626e-16}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R7_high_no_LP_bridge,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 7, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 4.440892098500626e-16}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R7_kappa_tfp_075,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 0.4684689447476361}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R8_ai_rents_additional,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 1, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 0.5858192949594567}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R9_profit_shift_rate_side,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 0.013567613836571013}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_deterministic_robustness_6a_baseline_official_v3,robustness,R9_vat_rate_side,summary,"{""baseline_reversed_cells"": 0, ""cell_class_changes"": 0, ""country_policy_class_changes"": 0, ""max_abs_delta_v_headline"": 0.12671991282065687}",Deterministic robustness summary; does not modify official classification.,,,,,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,D1_placebo_ict,expected_verdict,"{""broad_feasible_cells"": 0, ""fragile_or_extreme_crossings"": 0, ""verdict"": ""PASS""}",Pass criterion declared before run: no mid-analog placebo ICT cell may be conditionally/robustly feasible; crossings must remain fragile/extreme.,placebo_falsification,PASS if broad_feasible_cells == 0,PASS,not_applicable,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,D2_negative_control_sectorial,exposure_displacement_control,"{""median_collapse_ratio_headline"": 0.31818181818181823, ""surviving_headline_crosses"": 1, ""verdict"": ""FAIL""}",E_prod replaced by automation/displacement exposure E_auto=0.035; expected V collapse roughly proportional to 0.035/0.11. Interpretation: el colapso mecanico opera (ratio = ratio de exposiciones); la celda superviviente CHL GMI stress refleja sobredeterminacion por escala del shock vs costo (corroborado por D4); caveat aplicado al claim condicional de CHL GMI.,negative_control,PASS if no headline crossing survives the non-productive exposure control,FAIL,not_applicable,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,D3_leave_one_source_out,classification_stability,"{""evaluated_rows"": 3, ""failed_rows"": 0, ""verdict"": ""PASS""}",LOSO uses available frozen alternatives; unavailable alternatives are documented rather than imputed.,source_falsification,PASS if evaluated headline classifications are stable; not_available rows are limitations,PASS,0,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,D4_channel_ablation,channel_shares,"{""dominant_channels"": [""labor"", ""labor"", ""labor""], ""verdict"": ""reported""}",One channel is removed at a time; table reports contribution shares and whether crossings survive.,mechanism_ablation,reported,reported,reported,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,D5_no_rent_capture,r4_rent_dependency,"{""rent_dependent_crossings"": 0, ""rows"": 1}",tau_AI set to zero conceptually by removing AI-rent contribution in r3/r4 cells.,mechanism_ablation,reported,reported,reported,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,D6_high_leakage_stress,high_leakage,"{""surviving_crosses"": 2, ""verdict"": ""reported""}",Leakage multiplier set to 1.0 for the evaluated headline regimes.,stress_falsification,reported,reported,reported,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,D7_informalization_mirror,not_applicable_by_construction,not_applicable,Baseline does not activate endogenous formalization in r1/r4; informalization mirror is not applicable by construction.,scope_check,not_applicable,not_applicable,not_applicable,baseline-official-v3,v1.0.1-official-4c
official_4c_diagnostics_6b_baseline_official_v3,diagnostic,D8_sobol_saltelli,sobol_vs_spearman,"{""max_rank_change_abs"": 3, ""verdict"": ""PASS""}",Saltelli/Sobol N=1024 over the top-10 Spearman drivers in three headline cells; rank_change compares ST rank to Spearman rank.,sensitivity_decomposition,PASS if 30 Sobol rows are produced,PASS,3,baseline-official-v3,v1.0.1-official-4c
official_4c_phase_b_closure_baseline_official_v3,diagnostic,P0_informality_adoption_ablation,adoption_only_no_informality,"{""baseline_crossings"": 15, ""gained_crossings"": 0, ""lost_crossings"": 0, ""max_abs_delta_q_prod"": 0.0, ""max_abs_delta_v"": 0.0, ""max_delta_q_bar"": 0.33734, ""rows"": 480, ""variant_crossings"": 15, ""verdict"": ""reported""}",Informality removed from adoption ceiling q_bar and logit only; Gap and all fiscal primitives unchanged. Fiscal-side informality is embedded in observed effective tax rates and is not separately ablated.,mechanism_ablation,reported; quantifies adoption-margin liberation and documents fiscal-side asymmetry,reported,0,baseline-official-v3,v1.0.1-official-4c
